Product,Release Year,Ranking Office,Ranking Gaming,Ranking Editing,Ranking General,Brand,Coating,Length (mm),Width (mm),Height (mm),Grip Width (mm),Ambidextrous,Left-Handed Friendly,Finger Rest,Default Weight (gm),Weight Distribution,Maximum Of Paired Devices,Battery Type,Connectivity,Cable Length (m),Mouse Feet Material,Switch Type,Switch Model,Total Number Of Buttons,Number Of Side Buttons,Profile Switching Button,Scroll Wheel Type,Software Windows Compatibility,Software macOS Compatibility
ROCCAT Burst Core,2020,7.0,8.6,7.6,,ROCCAT,Matte,120.3,67.0,38.83,60.0,Yes,No,No,102.78,Centered,,No Batteries,Wired,1.87,PTFE,,,6,2,Yes,Notched Wheel,Yes,No
BenQ ZOWIE FK1-B,2020,6.0,7.7,6.1,,BenQ,Glossy,129.5,66.5,37.0,60.0,Yes,No,No,132.69,Centered,,No Batteries,Wired,2.14,PTFE,,,7,2,No,Notched Wheel,No,No
Corsair SABRE PRO,2021,7.0,8.7,8.1,,Corsair,Matte,129.2,69.0,42.3,66.0,No,No,No,97.95,Centered,,No Batteries,Wired,2.1,PTFE,,,6,2,Yes,Notched Wheel,Yes,Yes
SteelSeries Aerox 3,2020,6.9,8.4,7.7,,SteelSeries,Matte,120.0,67.0,38.0,60.0,Yes,No,No,85.0,Centered,,No Batteries,Wired,1.9,PTFE,,,6,2,Yes,Notched Wheel,Yes,Yes
GLORIOUS Model D-,2020,6.7,8.5,7.1,,GLORIOUS,Matte,120.0,66.0,41.0,61.0,No,No,No,94.0,Centered,,No Batteries,Wired,2.0,Virgin Grade PTFE,,,6,2,No,Notched Wheel,Yes,No
ASUS ROG Spatha,2019,8.2,7.0,8.3,,ASUS,Matte,135.5,88.2,43.4,74.0,No,No,Thumb and Pinky,206.0,Centered,,Rechargeable,Wireless,2.09,PTFE,,,12,6,Yes,Notched Wheel,Yes,No
Kensington Expert Mouse Wireless Trackball,2016,7.7,3.4,4.5,,Kensington,Matte,156.0,130.0,70.0,,Yes,No,No,,Front-heavy,,2x AA,Wireless,,Plastic,,,4,0,No,Free Wheel,Yes,Yes
SteelSeries Rival 600,2018,7.4,7.9,8.1,,SteelSeries,Matte,132.0,69.0,44.0,64.0,No,No,No,170.0,Centered,,No Batteries,Wired,2.07,PTFE,,,7,3,Yes,Notched Wheel,Yes,Yes
J-Tech Digital V628X,2018,5.8,6.1,6.4,,J-Tech Digital,Matte,152.0,100.0,82.0,55.0,No,No,Thumb and Pinky,244.0,Front-heavy,,No Batteries,Wired,1.8,PTFE,,,6,2,No,Notched Wheel,Yes,No
Havit HV-MS735,2016,7.1,7.1,8.0,,Havit,Glossy,126.0,75.0,44.0,62.0,No,No,Thumb,163.0,Centered,,No Batteries,Wired,1.9,PTFE,,,19,12,No,Notched Wheel,Yes,No
Havit HV-MS760,2018,7.1,6.3,7.5,,Havit,Matte,128.0,73.0,39.0,64.0,No,No,No,170.0,Centered,,No Batteries,Wired,1.84,PTFE,,,14,9,No,Notched Wheel,Yes,No
Anker Gaming Mouse,2018,6.7,7.6,7.4,,Anker,Matte,120.0,65.0,40.0,63.0,No,No,No,127.0,Centered,,No Batteries,Wired,1.85,PTFE,,,6,2,Yes,Notched Wheel,Yes,No
IBM PS/2,2000,5.4,5.2,3.6,,IBM,Matte,115.3,61.72,36.85,62.0,Yes,No,No,121.0,Centered,,No Batteries,Wired,1.84,Plastic,,,2,0,No,No,No,No
Anker High Precision Gaming Mouse,2018,6.7,7.7,7.5,,Anker,Matte,123.0,81.0,42.0,65.0,No,No,Thumb and Pinky,166.0,Centered,,No Batteries,Wired,1.76,PTFE,,,12,5,No,Notched Wheel,Yes,No
UtechSmart VENUS,2014,7.1,7.0,8.5,,UtechSmart,Matte,121.0,82.0,43.0,72.0,No,No,Thumb,174.0,Centered,,No Batteries,Wired,1.86,PTFE,,,19,12,Yes,Notched Wheel,Yes,No
Corsair GLAIVE PRO,2019,6.9,7.9,7.9,,Corsair,Matte,129.0,70.0,51.0,65.0,Yes,No,Thumb,148.0,Centered,,No Batteries,Wired,1.85,PTFE,,,7,2,Yes,Notched Wheel,Yes,Yes
Corsair Nightsword RGB,2019,7.4,7.6,8.3,,Corsair,Matte,130.0,69.0,43.0,63.0,No,No,Thumb,174.0,Centered,,No Batteries,Wired,1.9,PTFE,,,10,3,Yes,Notched Wheel,Yes,Yes
SteelSeries Rival 710,2018,7.2,7.4,7.9,,SteelSeries,Matte,124.0,69.0,41.0,61.0,No,No,No,162.0,Back-heavy,,No Batteries,Wired,2.0,PTFE,,,7,3,Yes,Notched Wheel,Yes,Yes
Dell Alienware AW610M,2019,7.4,7.2,7.1,,Dell,Matte,133.0,78.0,44.0,61.0,Yes,No,Thumb and Pinky,162.0,Centered,,Rechargeable,Wireless,1.99,PTFE,,,7,2,No,Notched Wheel,Yes,No
Corsair M55 RGB Pro,2019,7.1,8.1,7.8,,Corsair,Matte,129.0,73.0,45.0,64.0,Yes,No,No,120.0,Centered,,No Batteries,Wired,1.85,PTFE,,,8,4,Yes,Notched Wheel,Yes,Yes
SteelSeries Rival 310,2017,7.2,8.0,7.9,,SteelSeries,Matte,128.0,68.7,42.0,61.0,No,No,No,128.0,Centered,,No Batteries,Wired,2.0,PTFE,,,6,2,Yes,Notched Wheel,Yes,Yes
Razer Basilisk,2017,7.5,7.4,7.9,,Razer,Matte,123.0,72.0,42.0,61.0,No,No,Thumb,139.0,Centered,,No Batteries,Wired,2.13,PTFE,,,9,3,Yes,Notched Wheel + Free Wheel,Yes,No
SteelSeries Rival 500,2016,7.4,7.2,8.6,,SteelSeries,Matte,119.0,77.0,43.0,65.0,No,No,Thumb,161.0,Centered,,No Batteries,Wired,2.0,PTFE,,,15,6,Yes,Notched Wheel,Yes,Yes
G-Wolves Hati HT-M Classic Edition,2019,6.9,8.3,7.2,,G-Wolves,Matte,124.5,64.3,39.8,61.0,Yes,No,No,105.0,Centered,,No Batteries,Wired,1.81,PTFE,,,6,2,No,Notched Wheel,Yes,No
VicTsing Wireless Gaming Mouse,2018,5.7,4.9,5.4,,VicTsing,Matte,121.0,69.0,39.0,64.0,Yes,No,No,,Back-heavy,,1x AA,Wireless,,PTFE,,,7,2,No,Notched Wheel,No,No
