Product,Release Year,Ranking Office,Ranking Gaming,Ranking Editing,Ranking General,Brand,Coating,Length (mm),Width (mm),Height (mm),Grip Width (mm),Ambidextrous,Left-Handed Friendly,Finger Rest,Default Weight (gm),Weight Distribution,Maximum Of Paired Devices,Battery Type,Connectivity,Cable Length (m),Mouse Feet Material,Switch Type,Switch Model,Total Number Of Buttons,Number Of Side Buttons,Profile Switching Button,Scroll Wheel Type,Software Windows Compatibility,Software macOS Compatibility
Endgame Gear XM1,2019,6.0,8.5,7.0,,Endgame Gear,Matte,122.0,66.0,38.0,61.0,Yes,No,No,111.0,Centered,,No Batteries,Wired,1.9,Virgin Grade PTFE,,,6,2,No,Notched Wheel,Yes,No
Razer Abyssus Essential,2018,6.9,8.0,6.3,,Razer,Matte,115.1,63.1,37.5,57.0,Yes,No,No,110.17,Centered,,No Batteries,Wired,2.1,PTFE,,,3,0,Yes,Notched Wheel,Yes,No
Sharkoon Light² 200,2020,7.4,8.1,7.3,,Sharkoon,Matte,120.7,66.1,43.0,60.0,No,No,No,100.72,Centered,,No Batteries,Wired,1.85,Virgin Grade PTFE,,,6,2,No,Notched Wheel,Yes,No
BenQ ZOWIE ZA12-B,2020,5.9,7.4,6.0,,BenQ,Matte,127.9,64.6,41.0,62.0,Yes,No,No,126.74,Centered,,No Batteries,Wired,2.1,PTFE,,,7,2,No,Notched Wheel,No,No
Kensington Orbit Wireless Trackball with Scroll Ring,2021,7.7,4.1,4.9,,Kensington,Matte,138.7,114.8,48.5,63.0,Yes,No,No,,Front-heavy,,2x AA,Wireless,,Rubber,,,3,0,No,Free Wheel,Yes,Yes
Vancer BT.L Gretxa,2021,8.0,8.6,7.4,,Vancer,Matte,122.2,62.9,37.4,60.0,Yes,No,No,103.33,Centered,,Rechargeable,Wireless,2.02,PTFE,,,8,2,No,Notched Wheel,Yes,No
Kensington Orbit Fusion Wireless Trackball,2020,7.6,3.9,6.2,,Kensington,Matte,133.0,96.7,64.7,73.0,No,No,Thumb and Pinky,,Front-heavy,,1x AA,Wireless,,Rubber,,,6,5,No,Free Wheel,Yes,Yes
Pwnage Ultra Custom Symm 2,2021,7.4,8.3,7.3,,Pwnage,Matte,118.0,61.0,39.0,59.0,Yes,No,No,120.52,Centered,,No Batteries,Wired,1.85,Virgin Grade PTFE,,,6,2,No,Notched Wheel,Yes,No
Gamesense Meta,2021,7.1,8.5,7.8,,Gamesense,Matte,119.3,63.8,38.5,60.0,Yes,No,No,94.06,Centered,,No Batteries,Wired,1.9,Virgin Grade PTFE,,,7,2,Yes,Notched Wheel,Yes,No
Mad Catz B.A.T. 6+,2021,7.0,8.1,7.9,,Mad Catz,Matte,125.5,65.9,41.4,52.0,Yes,No,Thumb and Pinky,137.89,Centered,,No Batteries,Wired,1.87,PTFE,,,8,4,Yes,Notched Wheel,Yes,No
